File,0.5 nautical miles,1 nautical miles,2 nautical miles
OS_1a.csv,2.206432311144359,1.5630861573089854,0.3158160687215698
OS_2a.csv,1.8698578908003007,1.300487682881076,0.2526528549772615
OS_1b.csv,2.131903752649296,1.5632816408204047,0.3158958807177087
OS_3b.csv,1.2716618875451922,1.2631315657828912,0.2653525398028798
OS_1c.csv,5.297930690600845,2.5134425409528585,1.5285497726124306
OS_1d.csv,5.136516643809999,2.5137568784392204,0.8466009603234823
atten_1a.csv,0.0872600349040182,0.03751406777541165,0.0
atten_2a.csv,0.04986287708801632,0.01250468925847055,0.0
atten_1b.csv,0.46128911607031997,0.45022511255627023,0.08845084660096461
atten_3b.csv,0.4488218426630155,0.43771885942970834,0.07581501137225738
atten_1c.csv,1.0471204188481766,0.42515943478804036,0.2400202122283998
atten_1d.csv,0.9849145991771622,0.45022511255627023,0.11372251705837906
break_1a.csv,2.455746696584399,1.5255720895335738,0.32844871147043153
break_2a.csv,2.0194465220643223,1.0253845191946962,0.20212228398180077
break_1b.csv,2.3812492207954126,1.525762881440719,0.3411675511751372
break_3b.csv,2.4934546814611664,1.8384192096047944,0.4296183977760878
break_1c.csv,5.086013462976821,2.538451919469799,1.515917129863569
break_1d.csv,4.8373020820346655,2.5262631315657824,0.8592367955521896
PA_1a.csv,2.7549239591124417,1.7131424284106458,0.37897928246589224
PA_2a.csv,0.9473946646721579,0.812804801800669,0.1894896412329391
PA_1b.csv,2.6679965091634563,1.7008504252125995,0.37907505686125886
PA_3b.csv,2.4560528612392534,2.1510755377688837,0.5180692443770524
PA_1c.csv,5.69683370730492,2.8385644616731205,1.705406771096508
PA_1d.csv,5.360927565141509,2.801400700350172,0.9603234773818474
