File,0.5 nautical miles,1 nautical miles,2 nautical miles
OSr_1a.csv,2.34355522313638,1.6631236713767636,0.32844871147043153
OSr_2a.csv,2.505609573672402,1.7131424284106458,0.3410813542192932
OSr_1b.csv,2.2565764867223543,1.6633316658329138,0.3411675511751372
OSr_3b.csv,2.4435855878319486,1.650825412706352,0.32853171594643
OSr_1c.csv,5.634505110944903,2.6760035013129895,1.629610914603338
OSr_1d.csv,5.423263932178029,2.6513256628314155,0.8971443012383112
attenr_1a.csv,0.06232859636001695,0.0250093785169411,0.0
attenr_2a.csv,0.024931438544001244,0.01250468925847055,0.0
attenr_1b.csv,0.31168183518265274,0.30015007503751345,0.050543340914828906
attenr_3b.csv,0.9475127789552489,0.9629814907453639,0.1895375284306224
attenr_1c.csv,0.7105459985041185,0.2751031636863799,0.15159171298635407
attenr_1d.csv,0.6732327639945233,0.30015007503751345,0.07581501137225738
PAr_1a.csv,2.331089503864379,1.4505439539827365,0.3158160687215698
PAr_2a.csv,1.2465719272002005,1.087907965487049,0.2526528549772615
PAr_1b.csv,2.2565764867223543,1.4382191095547718,0.3158958807177087
PAr_3b.csv,1.9822964717616287,1.738369184592299,0.41698256254738053
PAr_1c.csv,4.811767638992779,2.4009003376266094,1.4401212733703848
PAr_1d.csv,4.600423887295854,2.4012006003001494,0.8086934546373467
