Omega,Kt_H_1,Kt_H_2,Kt_H_3,Kr_H_1,Kr_H_2,Kr_H_3,power_1,power_2,power_3
0.7,0.9403669577268765,0.9636439229035421,0.9400843199092207,0.08240353651927808,0.1653763263356738,0.0826278913713416,-6396.522427889961,-5506.392866476914,-6388.2156197410395
0.8,0.9184213996206383,0.9577730678016841,0.9188488943817982,0.11024695112517324,0.184012895946677,0.11047214230832836,-4894.788442794273,-4494.100375661561,-4897.753444550557
0.9,0.8618015789197657,0.9415608284431869,0.8624439503930365,0.17268301472229655,0.046115944756866145,0.17293964589999636,-2926.0735868611177,-5455.667107631309,-2930.7525149980206
1.0,0.7430290282519707,0.9467679702007399,0.7419044461423324,0.25479645978602544,0.37607996098052526,0.25552073018238436,-662.2605381496079,-1761.0421350268057,-645.3134550823214
1.1,0.7326506357695923,0.9057624425278625,0.7288278114160363,0.2725881178333833,0.30308475626117093,0.2725970849891699,-369.37506905008195,-1715.5663465079153,-337.9888599221785
1.25,0.6564932098068951,0.8897724606282117,0.6547428788258584,0.49004549809179765,0.7196778362760995,0.4843361608873414,1523.8368033731686,639.8139900320523,1506.2760421234213
1.3,0.4794389531626417,1.0138867750502027,0.4809277976941343,0.5347864879640408,0.6340652567572909,0.5334398113565951,2625.9386871131965,-767.6748823065024,2613.2070651891577
