Omega,Kt_H_1,Kt_H_2,Kt_H_3,Kr_H_1,Kr_H_2,Kr_H_3
0.7,0.99098498,0.99076287,0.99064832,-0.00059918,-0.00023671,-0.00025912
0.8,0.97614156,1.00072319,0.97644518,-0.00367336,0.00646609,-0.00359242
0.9,0.93974176,1.04574334,0.94137275,0.00159538,0.00360719,0.00142101
1.0,0.87137715,1.06583793,0.87066778,-0.002878,0.00319888,-0.00328976
1.1,0.8362936611391313,0.9198424456530843,0.8334683759766156,-0.0018554020025678408,-0.0035801034069694593,-0.002201153589242555
1.25,0.8292167308175975,0.9517609277385631,0.8335857804853288,0.020809471829995152,0.04691424830759616,0.018762908134742906
1.3,0.8030455036284256,0.8119086838706028,0.811433673360962,0.02936757503490295,0.13562144109815444,0.02678318814081604
