Omega,Kt_H_1,Kr_H_1,power_1
0.7,0.9671727600065322,0.004705576382888266,0.0
0.8,0.9510131810146092,0.010027755692732399,0.0
0.9,0.9306139365068461,0.01790432249437912,0.0
1.0,0.9041365064794172,0.02865148654557581,0.0
1.1,0.8659360492158314,0.04533360613784132,0.0
1.25,0.7896348181499939,0.0784414683028749,0.0
1.3,0.7554625226443458,0.08493990332098922,0.0
