Omega,Kt_H_1,Kt_H_2,Kt_H_3,Kr_H_1,Kr_H_2,Kr_H_3,power_1,power_2,power_3
0.7,0.9403669577268765,0.9636439229035421,0.9400843199092207,0.08240353651927808,0.1653763263356738,0.0826278913713416,959.2903211558472,387.8837860508816,963.6451986122448
0.8,0.9184213996206383,0.9577730678016841,0.9188488943817982,0.11024695112517324,0.184012895946677,0.11047214230832836,1112.4023730640533,376.14973496275866,1105.96654173718
0.9,0.8618015789197657,0.9415608284431869,0.8624439503930365,0.17268301472229655,0.046115944756866145,0.17293964589999636,1558.2601464799504,762.6706857024892,1550.0652998330138
1.0,0.7430290282519707,0.9467679702007399,0.7419044461423324,0.25479645978602544,0.37607996098052526,0.25552073018238436,2361.1604901998576,-233.07703518191502,2369.1771379861057
1.1,0.7326506357695923,0.9057624425278625,0.7288278114160363,0.2725881178333833,0.30308475626117093,0.2725970849891699,2179.7571410873165,491.71933135273093,2211.042834510275
1.25,0.6564932098068951,0.8897724606282117,0.6547428788258584,0.49004549809179765,0.7196778362760995,0.4843361608873414,1622.0300035846838,-1527.132177482107,1660.7872878144683
1.3,0.4794389531626417,1.0138867750502027,0.4809277976941343,0.5347864879640408,0.6340652567572909,0.5334398113565951,2295.9955301213568,-2039.2580930964857,2296.03687716639
