Omega,Kt_H_1,Kt_H_2,Kt_H_3,Kt_H_4,Kr_H_1,Kr_H_2,Kr_H_3,Kr_H_4,power_1,power_2,power_3,power_4
"[1.25663706 1.04719755 0.8975979  0.78539816 0.6981317  0.62831853
 0.57119866 0.52359878]",0.7390675291767062,0.6084712130951084,0.8337851762689479,0.8698493546027103,0.1406409121353599,-0.21941452255868193,0.020991177741443205,0.23278740913108434,2129.222680701616,2853.457463929289,1493.2136926343944,928.08802696644
"[1.25663706 1.04719755 0.8975979  0.78539816 0.6981317  0.62831853
 0.57119866 0.52359878]",0.8635273191359791,0.6824423078539235,0.9072514804594987,0.9309116987617712,-0.07021502960618738,-0.01957736370268331,-0.013621234553992065,-0.06688231892425357,1468.2264511041271,3143.145128005928,1040.3332343843144,759.0455113238033
"[1.25663706 1.04719755 0.8975979  0.78539816 0.6981317  0.62831853
 0.57119866 0.52359878]",0.9766543986327714,0.8514639771997408,0.9188700688894792,0.9374953671403967,-0.006205972332721094,0.09728065649698099,-0.06957778913740142,-0.26609056485031735,316.6892050152115,1823.892043625246,1036.0176909097252,345.47205715928214
"[1.25663706 1.04719755 0.8975979  0.78539816 0.6981317  0.62831853
 0.57119866 0.52359878]",0.9556721785271333,0.9425711610520231,0.9465898909640281,0.9238691293950754,0.0324737690098694,0.024952657009043477,-0.022513769140975973,-0.06461774969787983,672.2164055713524,870.819851834423,812.1335731728727,1116.9340989834498
"[1.25663706 1.04719755 0.8975979  0.78539816 0.6981317  0.62831853
 0.57119866 0.52359878]",0.9717647393638227,0.9783209037845334,0.9628042054463495,0.964843922971482,0.0035954773183186663,0.006533626357969172,0.012447961636321456,0.03572682730377571,491.53062254769424,378.3641377518932,643.3578965855198,598.7326466837208
"[1.25663706 1.04719755 0.8975979  0.78539816 0.6981317  0.62831853
 0.57119866 0.52359878]",0.9854963735356367,0.9801769818530829,0.9722303774764254,0.9691524392527623,-0.0021464445032087693,0.0004801498911783927,0.004853208175834664,0.010146480078602652,282.51287513894744,385.15298209169185,537.1589743579788,595.0117028359296
"[1.25663706 1.04719755 0.8975979  0.78539816 0.6981317  0.62831853
 0.57119866 0.52359878]",0.9902865139314897,0.9836062769437348,0.9798015395497782,0.9769802822228105,0.0005967750508659587,0.0036635185243044147,0.0012952237228590195,0.0037633331412472936,208.65915084428568,350.83951337283276,431.595015575659,491.04565486033346
"[1.25663706 1.04719755 0.8975979  0.78539816 0.6981317  0.62831853
 0.57119866 0.52359878]",0.9951376512419658,0.9926441743131272,0.9891327678974025,0.9887818529385132,0.00010340777286460483,0.002749684579446632,0.0027013720185902167,0.008539192222935862,114.2251578542421,172.49653641243393,254.4364647969758,261.83627406288366
